#Temp.      Voltage    Sensitivity
#(Kelvin)   (Volts)    (milliVolts/Kelvin)
#
   1.400   1.64429    -1.248933E+01
   1.500   1.64299    -1.362982E+01
   1.600   1.64157    -1.479334E+01
   1.700   1.64003    -1.597987E+01
   1.800   1.63837    -1.714728E+01
   1.900   1.63660    -1.825338E+01
   2.000   1.63472    -1.929817E+01
   2.100   1.63274    -2.026550E+01
   2.200   1.63067    -2.113918E+01
   2.300   1.62852    -2.191922E+01
   2.400   1.62629    -2.260560E+01
   2.500   1.62400    -2.318245E+01
   2.600   1.62166    -2.363387E+01
   2.700   1.61928    -2.395986E+01
   2.800   1.61687    -2.416041E+01
   2.900   1.61445    -2.435561E+01
   3.000   1.61200    -2.466552E+01
   3.100   1.60951    -2.509015E+01
   3.200   1.60697    -2.562951E+01
   3.300   1.60438    -2.621934E+01
   3.400   1.60173    -2.679543E+01
   3.500   1.59902    -2.735777E+01
   3.600   1.59626    -2.790637E+01
   3.700   1.59344    -2.844121E+01
   3.800   1.59057    -2.898949E+01
   3.900   1.58764    -2.957840E+01
   4.000   1.58465    -3.020793E+01
   4.200   1.57848    -3.158885E+01
   4.400   1.57202    -3.291424E+01
   4.600   1.56533    -3.396611E+01
   4.800   1.55845    -3.474443E+01
   5.000   1.55145    -3.524923E+01
   5.200   1.54436    -3.560206E+01
   5.400   1.53721    -3.592451E+01
   5.600   1.53000    -3.621659E+01
   5.800   1.52273    -3.647828E+01
   6.000   1.51541    -3.670959E+01
   6.500   1.49698    -3.685600E+01
   7.000   1.47868    -3.621463E+01
   7.500   1.46086    -3.499872E+01
   8.000   1.44374    -3.342148E+01
   8.500   1.42747    -3.167395E+01
   9.000   1.41207    -2.994713E+01
   9.500   1.39751    -2.831155E+01
  10.000   1.38373    -2.683768E+01
  10.500   1.37065    -2.550830E+01
  11.000   1.35820    -2.430614E+01
  11.500   1.34632    -2.319767E+01
  12.000   1.33499    -2.214937E+01
  12.500   1.32416    -2.116644E+01
  13.000   1.31381    -2.025408E+01
  13.500   1.30390    -1.940933E+01
  14.000   1.29439    -1.862920E+01
  14.500   1.28526    -1.792460E+01
  15.000   1.27645    -1.730641E+01
  15.500   1.26794    -1.677093E+01
  16.000   1.25967    -1.631446E+01
  16.500   1.25161    -1.593612E+01
  17.000   1.24372    -1.563506E+01
  17.500   1.23596    -1.540793E+01
  18.000   1.22830    -1.525141E+01
  18.500   1.22070    -1.517677E+01
  19.000   1.21311    -1.519531E+01
  19.500   1.20548    -1.533556E+01
  20.000   1.197748   -1.562607E+01
  21.000   1.181548   -1.698253E+01
  22.000   1.162797   -2.110864E+01
  23.000   1.140817   -2.076668E+01
  24.000   1.125923   -9.417931E+00
  25.000   1.119448   -4.596471E+00
  26.000   1.115658   -3.185347E+00
  27.000   1.112810   -2.578509E+00
  28.000   1.110421   -2.246492E+00
  29.000   1.108261   -2.080624E+00
  30.000   1.106244   -1.962611E+00
  31.000   1.104324   -1.880101E+00
  32.000   1.102476   -1.819186E+00
  33.000   1.100681   -1.772220E+00
  34.000   1.098930   -1.731560E+00
  35.000   1.097216   -1.697206E+00
  36.000   1.095534   -1.668325E+00
  37.000   1.093878   -1.644087E+00
  38.000   1.092244   -1.624491E+00
  39.000   1.090627   -1.609191E+00
  40.000   1.089024   -1.597841E+00
  42.000   1.085842   -1.586995E+00
  44.000   1.082669   -1.586581E+00
  46.000   1.079492   -1.591231E+00
  48.000   1.076303   -1.598356E+00
  50.000   1.073099   -1.605367E+00
  52.000   1.069881   -1.612265E+00
  54.000   1.066650   -1.619381E+00
  56.000   1.063403   -1.627045E+00
  58.000   1.060141   -1.635257E+00
  60.000   1.056862   -1.643959E+00
  65.000   1.048584   -1.667578E+00
  70.000   1.040183   -1.693169E+00
  75.000   1.031651   -1.719827E+00
  77.350   1.027594   -1.732521E+00
  80.000   1.022984   -1.746905E+00
  85.000   1.014181   -1.774083E+00
  90.000   1.005244   -1.800806E+00
  95.000   0.996174   -1.827230E+00
 100.000   0.986974   -1.852606E+00
 105.000   0.977650   -1.876646E+00
 110.000   0.968209   -1.899452E+00
 115.000   0.958657   -1.921105E+00
 120.000   0.949000   -1.941685E+00
 125.000   0.939242   -1.961193E+00
 130.000   0.929390   -1.979745E+00
 135.000   0.919446   -1.997460E+00
 140.000   0.909416   -2.014338E+00
 145.000   0.899304   -2.030355E+00
 150.000   0.889114   -2.045487E+00
 155.000   0.878851   -2.059734E+00
 160.000   0.868518   -2.073219E+00
 165.000   0.858120   -2.086062E+00
 170.000   0.847659   -2.098264E+00
 175.000   0.837138   -2.109921E+00
 180.000   0.826560   -2.121130E+00
 185.000   0.815928   -2.131890E+00
 190.000   0.805242   -2.142257E+00
 195.000   0.794505   -2.152285E+00
 200.000   0.783720   -2.161975E+00
 205.000   0.772886   -2.171350E+00
 210.000   0.762007   -2.180435E+00
 215.000   0.751082   -2.189231E+00
 220.000   0.740115   -2.197770E+00
 225.000   0.729105   -2.206088E+00
 230.000   0.718054   -2.214182E+00
 235.000   0.706964   -2.222062E+00
 240.000   0.695834   -2.229735E+00
 245.000   0.684667   -2.237201E+00
 250.000   0.673462   -2.244439E+00
 255.000   0.662223   -2.251431E+00
 260.000   0.650949   -2.258175E+00
 265.000   0.639641   -2.264723E+00
 270.000   0.628302   -2.271124E+00
 273.150   0.621141   -2.275081E+00
 275.000   0.616930   -2.277378E+00
 280.000   0.605528   -2.283414E+00
 285.000   0.594097   -2.289158E+00
 290.000   0.582637   -2.294612E+00
 295.000   0.571151   -2.299834E+00
 300.000   0.559639   -2.304880E+00
 305.000   0.548102   -2.309753E+00
 310.000   0.536542   -2.314259E+00
 315.000   0.524961   -2.318207E+00
 320.000   0.513361   -2.321597E+00
 325.000   0.501744   -2.325317E+00
 330.000   0.490106   -2.330256E+00
 335.000   0.478442   -2.334916E+00
 340.000   0.466760   -2.337799E+00
 345.000   0.455067   -2.338907E+00
 350.000   0.443371   -2.339537E+00
 355.000   0.431670   -2.340987E+00
 360.000   0.419960   -2.343257E+00
 365.000   0.408237   -2.345794E+00
 370.000   0.396503   -2.348043E+00
 375.000   0.384757   -2.350005E+00
 380.000   0.373002   -2.352110E+00
 385.000   0.361235   -2.354790E+00
 390.000   0.349453   -2.358044E+00
 395.000   0.337654   -2.361483E+00
 400.000   0.325839   -2.364714E+00
 405.000   0.314008   -2.367739E+00
 410.000   0.302161   -2.370871E+00
 415.000   0.290298   -2.374425E+00
 420.000   0.278416   -2.378401E+00
 425.000   0.266514   -2.382448E+00
 430.000   0.254592   -2.386213E+00
 435.000   0.242653   -2.389696E+00
 440.000   0.230697   -2.392448E+00
 445.000   0.218730   -2.394021E+00
 450.000   0.206758   -2.394415E+00
 455.000   0.194789   -2.393021E+00
 460.000   0.182832   -2.389230E+00
 465.000   0.170901   -2.383043E+00
 470.000   0.159010   -2.372133E+00
 475.000   0.147191   -2.354177E+00
 480.000   0.135480   -2.329174E+00
 485.000   0.123915   -2.294651E+00
 490.000   0.112553   -2.248133E+00
 495.000   0.101454   -2.189620E+00
 500.000   0.090681   -2.116515E+00
